ID_paper,yes/no (final filtering),type,author,title,abstract,year,journal,doi,source,filename,n_duplicates
11,yes,Article,Roth; Annika and Vleurinck; Christina and Netschitailo; Oksana and Bauer; Vivien and Otte; Marianne and Kaftanoglu; Osman and Page; Robert E. and Beye; Martin,A genetic switch for worker nutrition-mediated traits in honeybees,"Highly social insects are characterized by caste dimorphism, with distinct size differences of reproductive organs between fertile queens and the more or less sterile workers. An abundance of nutrition or instruction via diet-specific compounds has been proposed as explanations for the nutrition-driven queen and worker polyphenism. Here, we further explored these models in the honeybee (Apis mellifera) using worker nutrition rearing and a novel mutational screening approach using the clustered regularly interspaced short palindromic repeats/CRISPR-associated protein 9 (CRISPR/Cas9) method. The worker nutrition-driven size reduction of reproductive organs was restricted to the female sex, suggesting input from the sex determination pathway. Genetic screens on the sex determination genes in genetic females for size polyphenism revealed that doublesex (dsx) mutants display size-reduced reproductive organs irrespective of the sexual morphology of the organ tissue. In contrast, feminizer (fem) mutants lost the response to worker nutrition-driven size control. The first morphological worker mutants in honeybees demonstrate that the response to nutrition relies on a genetic program that is switched ON by the fem gene. Thus, the genetic instruction provided by the fem gene provides an entry point to genetically dissect the underlying processes that implement the size polyphenism. Author summary In honeybees, nutrition drives dimorphic size development of reproductive organs in fertile queens and sterile workers. The first induced morphological mutants in honeybees demonstrate that this developmental plasticity requires a genetic program that is switched ON by the feminizer (fem) gene.",2019,PLOS BIOLOGY,10.1371/journal.pbio.3000171,Web of Science,savedrecs.bib,1
12,yes,Article,Morimoto; Juliano and Barcellos; Renan and Schoborg; Todd A. and Nogueira; Liebert Parreiras and Colaco; Marcos Vinicius,Assessing Anatomical Changes in Male Reproductive Organs in Response to Larval Crowding Using Micro-computed Tomography Imaging,"Ecological conditions shape (adaptive) responses at the molecular, anatomical, and behavioral levels. Understanding these responses is key to predict the outcomes of intra- and inter-specific competitions and the evolutionary trajectory of populations. Recent technological advances have enabled large-scale molecular (e.g., RNAseq) and behavioral (e.g., computer vision) studies, but the study of anatomical responses to ecological conditions has lagged behind. Here, we highlight the role of X-ray micro-computed tomography (micro-CT) in generating in vivo and ex vivo 3D imaging of anatomical structures, which can enable insights into adaptive anatomical responses to ecological environments. To demonstrate the application of this method, we manipulated the larval density of Drosophila melanogaster Meigen flies and applied micro-CT to investigate the anatomical responses of the male reproductive organs to varying intraspecific competition levels during development. Our data is suggestive of two classes of anatomical responses which broadly agree with sexual selection theory: increasing larval density led to testes and ejaculatory duct to be overall larger (in volume), while the volume of accessory glands and, to a lesser extent, ejaculatory duct decreased. These two distinct classes of anatomical responses might reflect shared developmental regulation of the structures of the male reproductive system. Overall, we show that micro-CT can be an important tool to advance the study of anatomical (adaptive) responses to ecological environments.",2022,NEOTROPICAL ENTOMOLOGY,10.1007/s13744-022-00976-5,Web of Science,savedrecs.bib,1
13,yes,Article,Faria; Flavio Silva and Areal; Mariana and Bitner-Mathe; Blanche Christine,Thermal Stress and Adult Fitness in a <i>Drosophila suzukii</i> Neotropical Propagule,"Drosophila suzukii (Matsumura 1931) is a cosmopolitan horticultural pest originally from temperate East Asia; yet, its recent introduction in southeast and central Brazil raises the possibility it might expand into warmer climatic zones. In theoretical terms, the adaptive potential of invasive species can be impaired by the lack of genetic variation, but, on the other hand, phenotypic plasticity might play an important role in the adaptation to the new environment. In this context, we investigated the effects of temperature variation (18 degrees C, 22 degrees C, and 28 degrees C) on fitness traits and size of male reproductive organs (accessory glands and testis) in a natural D. suzukii population recently introduced in the neotropical region. Development time decreased significantly with increasing temperature, but egg-to-adult survival was not affected, attaining rates around 50\% for the three temperatures. Development at 28 degrees C affected differentially adult male and female biological performance: males displayed higher mortality and severe and permanent reduction in offspring production, whereas females showed the same mortality as controls and a temporary decrease in offspring production, followed of a clear recovery. Finally, reproductive organs size in immature and mature males was affected by developmental temperature variation in the following ways. Testis length decreased with body size (i.e., at higher temperatures) and increased with maturation time after adult hatching, whereas for accessory glands there was no significant difference between different temperatures, resulting in proportionally larger glands for smaller body sizes. These results show differences in developmental dynamics of reproductive tract structures due to temperature variation.",2023,NEOTROPICAL ENTOMOLOGY,10.1007/s13744-023-01075-9,Web of Science,savedrecs.bib,1
14,no,Article,Chapman; Nadine C. and Siriwat; Penthai and Howie; James and Towlson; Aaron and Bellamy; Lawrence and Fowler; Kevin and Pomiankowski; Andrew,The complexity of mating decisions in stalk-eyed flies,"All too often, studies of sexual selection focus exclusively on the responses in one sex, on single traits, typically those that are exaggerated and strongly sexually dimorphic. They ignore a range of less obvious traits and behavior, in both sexes, involved in the interactions leading to mate choice. To remedy this imbalance, we analyze a textbook example of sexual selection in the stalk-eyed fly (Diasemopsis meigenii). We studied several traits in a novel, insightful, and efficient experimental design, examining 2,400 male-female pairs in a round-robin array, where each female was tested against multiple males and vice versa. In D.meigenii, females exhibit strong mate preference for males with highly exaggerated eyespan, and so we deliberately constrained variation in male eyespan to reveal the importance of other traits. Males performing more precopulatory behavior were more likely to attempt to mate with females and be accepted by them. However, behavior was not a necessary part of courtship, as it was absent from over almost half the interactions. Males with larger reproductive organs (testes and accessory glands) did not make more mating attempts, but there was a strong tendency for females to accept mating attempts from such males. How females detect differences in male reproductive organ size remains unclear. In addition, females with larger eyespan, an indicator of size and fecundity, attracted more mating attempts from males, but this trait did not alter female acceptance. Genetic variation among males had a strong influence on male mating attempts and female acceptance, both via the traits we studied and other unmeasured attributes. These findings demonstrate the importance of assaying multiple traits in males and females, rather than focusing solely on prominent and exaggerated sexually dimorphic traits. The approach allows a more complete understanding of the complex mating decisions made by both males and females.",2017,ECOLOGY AND EVOLUTION,10.1002/ece3.3225,Web of Science,savedrecs.bib,1
15,yes,Article,Zerbino; Maria S. and Altier; Nora A. and Panizzi; Antonio R.,Seasonal occurrence of <i>Piezodorus guildinii</i> on different plants including morphological and physiological changes,"Piezodorus guildinii (Westwood) is an important soybean pest in the Americas. Current knowledge about its ecology is limited. To implement holistic and sustainable pest management programs, it is necessary to understand how biotic and abiotic factors regulate its population. Seasonal occurrence on different host plants, and morphological (body morphometry and color) and physiological (lipid content and development of reproductive organs) changes in adults, were studied. Weekly samples were conducted during 2 years on Medicago sativa, Trifolium pratense, Lotus corniculatus (Leguminosae), Pittosporum undulatum (Pittosporaceae), Ligustrum lucidum (Oleaceae), Phyllostachys sp. (Poaceae), and in leaf litter of Eucalyptus sp. (Myrtaceae) at the survey sites (between 33A degrees 55' and 34A degrees 17'S). On forage legumes, both nymphs and adults were intercepted, whereas on shrubs, bamboo, and in eucalyptus litter only adults were captured. Alfalfa was the forage legume on which adults were collected during almost the entire year. In this plant species, the abundance of adults and nymphs were higher in comparison with the other plants species and overwintering niches. From the beginning of autumn to the beginning of spring, adults were observed on the foliage of shrubs and bamboo. During autumn and winter, adults were observed underneath eucalyptus litter. In autumn and winter, adults had accumulated lipids reserves, showed undeveloped reproductive organs, smaller body size, and females showed clear coloration of the pronotum band and of the connexivum, indicating reproductive diapause. Results suggest that the control of P. guildinii during spring on alfalfa may reduce the population of bugs before they colonize soybean.",2015,JOURNAL OF PEST SCIENCE,10.1007/s10340-014-0630-2,Web of Science,savedrecs.bib,1
16,yes,Article,Pessman; Brandi J. and Rae; Rosaria J. and Wagner; Veronica and Mitra; Chandreyee,House cricket males reared at different perceived acoustic population densities differ in adult behaviour but not physiology,"If environments stay relatively constant over an individual's lifetime, a juvenile that accurately perceives environmental conditions, like population density, may adjust adult traits to better match their environment, thereby increasing success. While previous studies have explored how adult exposure to population density affects physiological and behavioural plasticity, the influence of juvenile density experience on adult traits is less studied. Using the common house cricket, Acheta domesticus, we explored whether perceived acoustic population density during development affected adult physiology and behaviour. We simulated high- and low-densities using live ambient male song. Upon maturation, we measured metabolic (resting respiration) rate, reproductive investment (testes and accessory gland masses), calling song characteristics and aggressive behaviours from pairwise contests between males from different densities. Male rearing density did not affect resting metabolic rates or reproductive organ masses. However, high-density males had significantly faster, longer chirps, with more pulses-known to be preferred by females-and higher dominant frequency. Low-density males won more aggressive contests and sang the aggressive song more. Initiation of aggressive behaviours or song and singing more aggressive song were the only other significant predictors of contest outcome. These results suggest that males may plastically adjust calling song characteristics and aggressive behaviour, but not physiology, based on perceived density during development. We hypothesize that alternative mating tactics-that is, territory guarding versus attractive song production-may underlie these observed patterns. Overall, our study highlights the significant influence of early-life biotic environments on adult behavioural decisions to enhance success in diverse environments. We reared Acheta domesticus males in their penultimate instar in high- or low-density treatments, simulated via live male song and measured multiple adult physiological and behavioural traits across individuals. While we found no differences in adult resting metabolic rates or reproductive organ mass, we did find differences in behavioural traits, which may suggest alternative reproductive tactics. High-density males produced potentially more attractive songs with faster, longer chirps and more pulses, while low-density males potentially prioritized territory defence by winning repeated contests and singing more aggressive songs. image",2024,ECOLOGICAL ENTOMOLOGY,10.1111/een.13354,Web of Science,savedrecs.bib,1
17,no,Article,Takeda; Koji and Yamauchi; Jun and Miki; Aoi and Kim; Daeyun and Leong; Xin-Yeng and Doggett; Stephen L. and Lee; Chow-Yang and Adachi-Yamada; Takashi,Binucleation of male accessory gland cells in the common bed bug <i>Cimex lectularius</i>,"The insect male accessory gland (MAG) is an internal reproductive organ responsible for the synthesis and secretion of seminal fluid components, which play a pivotal role in the male reproductive strategy. In many species of insects, the effective ejaculation of the MAG products is essential for male reproduction. For this purpose, the fruit fly Drosophila has evolved binucleation in the MAG cells, which causes high plasticity of the glandular epithelium, leading to an increase in the volume of seminal fluid that is ejaculated. However, such a binucleation strategy has only been sporadically observed in Dipteran insects, including fruit flies. Here, we report the discovery of binucleation in the MAG of the common bed bug, Cimex lectularius, which belongs to hemimetabolous Hemiptera phylogenetically distant from holometabolous Diptera. In Cimex, the cell morphology and timing of synchrony during binucleation are quite different from those of Drosophila. Additionally, in Drosophila, the position of the two nuclei in the adult stage changes as a result of the mating history or the nutrient conditions; however, it remains stable in Cimex. These differences suggest that binucleation in the Cimex MAG plays a unique role in the male reproductive system that is distinct from that of Drosophila.",2019,SCIENTIFIC REPORTS,10.1038/s41598-019-42844-0,Web of Science,savedrecs.bib,1
18,no,Article,Wang; Xiaowen and Huang; Lanjie and Gichira; Andrew Wanyoike and Wang; Xiaofan,The effects of density on size-dependent gender plasticity in the monoecious species <i>Sagittaria potamogetifolia</i> (Alismataceae),"Aim: To test the fitness-gain curve model proposes that cosexual plants adjust their sex ratios and resource allocation depending on their size. In this study, the monoecious species Sagittaria potamogetifolia was used as a model to determine the effects of plant size and density on gender modification and reproductive allocation. Methods and materials: Various traits, including flower number and plant biomass, were measured under four different artificially constructed population density treatments. More male flowers were produced than female flowers per individual at high densities, while the opposite trend was observed at low densities. This trend was particularly evident in the highest density treatment. Results: A trade-off was discovered between male-female sex allocations in the highest density treatment (40 individuals m(2)). The allometric growth of reproductive organs compared with plant size was detected, as evidenced by the reproductive structures' biomass and flower numbers. However, in the highest density treatment, size was weakly negatively correlated with femaleness. Conclusion: Thus, S. potamogetifolia has a reproductive strategy that easily adjusts to different reproductive environmental densities. (C) 2018 Production and hosting by Elsevier B.V. on behalf of King Saud University.",2019,SAUDI JOURNAL OF BIOLOGICAL SCIENCES,10.1016/j.sjbs.2018.11.014,Web of Science,savedrecs.bib,1
19,no,Article,Trouvé; S and Jourdane; J and Renaud; F and Durand; P and Morand; S,Adaptive sex allocation in a simultaneous hermaphrodite,"When applied to hermaphrodite organisms, the local mate competition hypothesis predicts an increase of the ratio of sperm to ova produced as the number of mates increases. Here we test this prediction using a hermaphroditic platyhelminth parasite (trematode), Echinostoma caproni. This worm inhabits the small intestine of vertebrates, inevitably inducing the formation of highly subdivided populations, a condition known to promote local mate competition. Moreover this echinostome exhibits an unrestricted mating pattern involving both selfing and outcrossing as well as multiple fertilizations. We quantified the investment in reproductive organs by estimations of testes, cirrus sac, ovary, and egg size and fecundity when echinostomes were isolated alone, in pairs, or in groups of 20 worms. Adult body size was also recorded as a covariate. When mating group size increases (singles, pairs, or groups) we observed a significant increase in resource allocation to male function in addition to a significant decrease in ovary size. Smaller ovaries do not seem to affect egg size, but do result in a reduction in fecundity. Finally, our results are in accordance with the expected theoretical relationship between male allocation and the number of potential mates given local mate competition.",1999,EVOLUTION,10.1111/j.1558-5646.1999.tb05423.x,Web of Science,savedrecs.bib,1
20,no,Article,Maeno; Koutaro and Tanaka; Seiji,"Morphological and behavioural characteristics of a gynandromorph of the desert locust, <i>Schistocerca gregaria</i>","Morphological and behavioural characteristics are investigated for a gynandromorph of the desert locust, Schistocerca gregaria, appearing under isolated rearing conditions in the laboratory. It has both male and female external reproductive organs bilaterally. The body size and dimensions are similar to a normal male. Morphometric traits (fore wing length/maximum head width ratio and fore wing length/hind femur length ratio) of the gynandromorph are typical for the values of solitarious locusts. When the gynandromorph is placed into an arena holding ten sexually mature gregarious females, it shows a distinct male behaviour: it jumps on a female and tries to mate with her. When kept together with males, males recognize this gynandromorph as a female because some of them try to mount, although no successful copulation is observed. The results suggest that the gynandromorph might have had a female-specific pheromone. Dissection reveals that the gynandromorph has no testis but abnormal ovaries containing vitellogenic oocytes. These observations indicate that the gynandromorph obtained has a mixture of male and female morphological characteristics and behaves like a male but is recognized as a female by conspecific males.",2007,PHYSIOLOGICAL ENTOMOLOGY,10.1111/j.1365-3032.2007.00573.x,Web of Science,savedrecs.bib,1
